family_type,go_function,family_count
Accessory,0000035,1
Accessory,0000036,1
Accessory,0000049,1
Accessory,0000150,1
Accessory,0000166,1
Accessory,0000287,1
Accessory,0000310,1
Accessory,0001217,1
Accessory,0003676,1
Accessory,0003677,1
Accessory,0003678,1
Accessory,0003684,1
Accessory,0003700,1
Accessory,0003723,1
Accessory,0003729,1
Accessory,0003735,1
Accessory,0003747,1
Accessory,0003756,1
Accessory,0003774,1
Accessory,0003796,1
Accessory,0003824,1
Accessory,0003887,1
Accessory,0003899,1
Accessory,0003908,1
Accessory,0003924,1
Accessory,0003963,1
Accessory,0003979,1
Accessory,0004016,1
Accessory,0004034,1
Accessory,0004071,1
Accessory,0004190,1
Accessory,0004222,1
Accessory,0004252,1
Accessory,0004335,1
Accessory,0004342,1
Accessory,0004349,1
Accessory,0004350,1
Accessory,0004386,1
Accessory,0004518,1
Accessory,0004519,1
Accessory,0004520,1
Accessory,0004521,1
Accessory,0004527,1
Accessory,0004540,1
Accessory,0004553,1
Accessory,0004559,1
Accessory,0004605,1
Accessory,0004731,1
Accessory,0004747,1
Accessory,0004803,1
Accessory,0004866,1
Accessory,0005198,1
Accessory,0005215,1
Accessory,0005247,1
Accessory,0005351,1
Accessory,0005381,1
Accessory,0005385,1
Accessory,0005506,1
Accessory,0005507,1
Accessory,0005509,1
Accessory,0005515,1
Accessory,0005524,1
Accessory,0005525,1
Accessory,0008080,1
Accessory,0008108,1
Accessory,0008131,1
Accessory,0008168,1
Accessory,0008198,1
Accessory,0008233,1
Accessory,0008234,1
Accessory,0008235,1
Accessory,0008236,1
Accessory,0008237,1
Accessory,0008270,1
Accessory,0008276,1
Accessory,0008375,1
Accessory,0008408,1
Accessory,0008446,1
Accessory,0008452,1
Accessory,0008484,1
Accessory,0008663,1
Accessory,0008675,1
Accessory,0008687,1
Accessory,0008688,1
Accessory,0008691,1
Accessory,0008704,1
Accessory,0008754,1
Accessory,0008755,1
Accessory,0008757,1
Accessory,0008761,1
Accessory,0008767,1
Accessory,0008801,1
Accessory,0008812,1
Accessory,0008824,1
Accessory,0008830,1
Accessory,0008892,1
Accessory,0008953,1
Accessory,0009007,1
Accessory,0009009,1
Accessory,0009022,1
Accessory,0009045,1
Accessory,0009927,1
Accessory,0015079,1
Accessory,0015098,1
Accessory,0015150,1
Accessory,0015159,1
Accessory,0015209,1
Accessory,0015221,1
Accessory,0015276,1
Accessory,0015288,1
Accessory,0015291,1
Accessory,0015293,1
Accessory,0015344,1
Accessory,0015416,1
Accessory,0015420,1
Accessory,0015535,1
Accessory,0015643,1
Accessory,0015663,1
Accessory,0015666,1
Accessory,0016301,1
Accessory,0016405,1
Accessory,0016410,1
Accessory,0016491,1
Accessory,0016616,1
Accessory,0016712,1
Accessory,0016746,1
Accessory,0016757,1
Accessory,0016779,1
Accessory,0016780,1
Accessory,0016782,1
Accessory,0016787,1
Accessory,0016788,1
Accessory,0016790,1
Accessory,0016791,1
Accessory,0016811,1
Accessory,0016829,1
Accessory,0016831,1
Accessory,0016836,1
Accessory,0016853,1
Accessory,0016872,1
Accessory,0016887,1
Accessory,0016987,1
Accessory,0017057,1
Accessory,0018800,1
Accessory,0018817,1
Accessory,0019148,1
Accessory,0019200,1
Accessory,0019213,1
Accessory,0019534,1
Accessory,0022857,1
Accessory,0030145,1
Accessory,0030151,1
Accessory,0030170,1
Accessory,0030246,1
Accessory,0030554,1
Accessory,0030976,1
Accessory,0035438,1
Accessory,0035460,1
Accessory,0036524,1
Accessory,0042626,1
Accessory,0043169,1
Accessory,0043565,1
Accessory,0046421,1
