pair,category,target_families,target_total,background_families,background_total,odds_ratio,p_value,FDR,significant_FDR_0.05
RM9387 + CI5,Carbohydrate metabolism,2,61,160,5497,1.130720338983051,0.5352983709228686,0.998505834488506,False
RM9387 + CI5,DNA defense/Repair,4,61,174,5497,2.1468037910869127,0.13050964728677059,0.4567837655036971,False
RM9387 + CI5,Hypothetical/Unknown,35,61,4075,5497,0.46974988201982065,0.998505834488506,0.998505834488506,False
RM9387 + CI5,Mobile elements/Recombination,2,61,215,5497,0.8327946393378005,0.695230854462811,0.998505834488506,False
RM9387 + CI5,Regulation,1,61,244,5497,0.35881147540983604,0.9370414955137418,0.998505834488506,False
RM9387 + CI5,Surface/Adhesion,14,61,181,5497,8.74856000940402,1.4181286747862095e-08,9.926900723503468e-08,True
RM9387 + CI5,Transport,3,61,448,5497,0.5829356527093597,0.8830035977534216,0.998505834488506,False
C41(DE3) + BL21,Carbohydrate metabolism,6,49,156,5509,4.788014311270126,0.0027686766081838985,0.01938073625728729,True
C41(DE3) + BL21,DNA defense/Repair,1,49,177,5509,0.6275894538606404,0.7985048635981328,1.0,False
C41(DE3) + BL21,Hypothetical/Unknown,32,49,4078,5509,0.660531402359865,0.9356547542872528,1.0,False
C41(DE3) + BL21,Mobile elements/Recombination,2,49,215,5509,1.0477981197427015,0.5762138104734573,1.0,False
C41(DE3) + BL21,Regulation,1,49,244,5509,0.4495389344262295,0.8912624329380014,1.0,False
C41(DE3) + BL21,Surface/Adhesion,0,49,195,5509,0.0,1.0,1.0,False
C41(DE3) + BL21,Transport,7,49,444,5509,1.9012762762762763,0.09833341037718436,0.3441669363201453,False
