strain,genome,family,gene,product,go_function,ontology_term
ST540,GCF_000597845.1,GCF_000597845.1|WP_000013026.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000018329.1,,aminoglycoside O-phosphotransferase APH(3')-Ia,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000025034.1,wzt,O9 family O-antigen export ABC transporter ATP-binding subunit,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000058717.1,,DMT family transporter,transmembrane transporter activity|0022857||IEA,"GO:0055085,GO:0022857,GO:0016020"
ST540,GCF_000597845.1,GCF_000597845.1|WP_000105636.1,merA,mercury(II) reductase,"mercury (II) reductase (NADP+) activity|0016152||IEA,mercury ion binding|0045340||IEA,flavin adenine dinucleotide binding|0050660||IEA,NADP binding|0050661||IEA","GO:0046689,GO:0050787,GO:0016152,GO:0045340,GO:0050660,GO:0050661"
ST540,GCF_000597845.1,GCF_000597845.1|WP_000164043.1,tetR(A),tetracycline resistance transcriptional repressor TetR(A),,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000166961.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000179845.1,,DNA-binding domain-containing protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000215657.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000227281.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000239529.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000240537.1,repC,replication protein C%2C IncQ-type,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000246636.1,,SMODS domain-containing nucleotidyltransferase,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000340829.1,,plasmid partitioning/stability family protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000350635.1,,AAA family ATPase,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000357056.1,,hypothetical protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000371325.1,,DUF4329 domain-containing protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000480968.1,,aminoglycoside O-phosphotransferase APH(6)-Id,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000506882.1,,DUF4236 domain-containing protein,,
ST540,GCF_000597845.1,GCF_000597845.1|WP_000545983.1,,DUF3800 domain-containing protein,,
