cluster,protein,genome,protein_id,gene,locus_tag,product,go_function,ontology_term
GCF_000597845.1|WP_000026117.1,GCF_000597845.1|WP_000026117.1,GCF_000597845.1,WP_000026117.1,glcD,BU34_RS10630,glycolate oxidase subunit GlcD,"(S)-2-hydroxy-acid oxidase activity|0003973||IEA,FAD binding|0071949||IEA","GO:0003973,GO:0071949,GO:0009339"
GCF_000597845.1|WP_000026117.1,GCF_000599665.1|WP_000026132.1,GCF_000599665.1,WP_000026132.1,glcD,CF58_RS19375,glycolate oxidase subunit GlcD,"(S)-2-hydroxy-acid oxidase activity|0003973||IEA,FAD binding|0071949||IEA","GO:0003973,GO:0071949,GO:0009339"
GCF_000597845.1|WP_000026117.1,GCF_000801165.1|WP_000026117.1,GCF_000801165.1,WP_000026117.1,glcD,HW42_RS20290,glycolate oxidase subunit GlcD,"(S)-2-hydroxy-acid oxidase activity|0003973||IEA,FAD binding|0071949||IEA","GO:0003973,GO:0071949,GO:0009339"
GCF_000597845.1|WP_000026117.1,GCF_000801185.2|WP_000026117.1,GCF_000801185.2,WP_000026117.1,glcD,HW43_RS20415,glycolate oxidase subunit GlcD,"(S)-2-hydroxy-acid oxidase activity|0003973||IEA,FAD binding|0071949||IEA","GO:0003973,GO:0071949,GO:0009339"
GCF_000597845.1|WP_000026117.1,GCF_000830035.1|WP_000026147.1,GCF_000830035.1,WP_000026147.1,glcD,TH69_RS14820,glycolate oxidase subunit GlcD,"(S)-2-hydroxy-acid oxidase activity|0003973||IEA,FAD binding|0071949||IEA","GO:0003973,GO:0071949,GO:0009339"
GCF_000597845.1|WP_000026117.1,GCF_000833145.1|WP_000026147.1,GCF_000833145.1,WP_000026147.1,glcD,SR36_RS14615,glycolate oxidase subunit GlcD,"(S)-2-hydroxy-acid oxidase activity|0003973||IEA,FAD binding|0071949||IEA","GO:0003973,GO:0071949,GO:0009339"
GCF_000597845.1|WP_000026117.1,GCF_000833635.2|WP_000026083.1,GCF_000833635.2,WP_000026083.1,glcD,USML2_RS08875,glycolate oxidase subunit GlcD,"(S)-2-hydroxy-acid oxidase activity|0003973||IEA,FAD binding|0071949||IEA","GO:0003973,GO:0071949,GO:0009339"
GCF_000597845.1|WP_000026117.1,GCF_000952955.1|WP_000026117.1,GCF_000952955.1,WP_000026117.1,glcD,ECRV308_RS15195,glycolate oxidase subunit GlcD,"(S)-2-hydroxy-acid oxidase activity|0003973||IEA,FAD binding|0071949||IEA","GO:0003973,GO:0071949,GO:0009339"
GCF_000597845.1|WP_000026117.1,GCF_000953515.1|WP_000026117.1,GCF_000953515.1,WP_000026117.1,glcD,ECHMS174_RS15210,glycolate oxidase subunit GlcD,"(S)-2-hydroxy-acid oxidase activity|0003973||IEA,FAD binding|0071949||IEA","GO:0003973,GO:0071949,GO:0009339"
GCF_000597845.1|WP_000026117.1,GCF_000971615.1|WP_000026117.1,GCF_000971615.1,WP_000026117.1,glcD,VK74_RS20475,glycolate oxidase subunit GlcD,"(S)-2-hydroxy-acid oxidase activity|0003973||IEA,FAD binding|0071949||IEA","GO:0003973,GO:0071949,GO:0009339"
GCF_000597845.1|WP_000026117.1,GCF_000987875.1|WP_000026117.1,GCF_000987875.1,WP_000026117.1,glcD,DP32_RS17670,glycolate oxidase subunit GlcD,"(S)-2-hydroxy-acid oxidase activity|0003973||IEA,FAD binding|0071949||IEA","GO:0003973,GO:0071949,GO:0009339"
GCF_000597845.1|WP_000027705.1,GCF_000597845.1|WP_000027705.1,GCF_000597845.1,WP_000027705.1,fdhE,BU34_RS14340,formate dehydrogenase accessory protein FdhE,,
GCF_000597845.1|WP_000027705.1,GCF_000599665.1|WP_025210068.1,GCF_000599665.1,WP_025210068.1,fdhE,CF58_RS00210,formate dehydrogenase accessory protein FdhE,,
GCF_000597845.1|WP_000027705.1,GCF_000801165.1|WP_000027708.1,GCF_000801165.1,WP_000027708.1,fdhE,HW42_RS00990,formate dehydrogenase accessory protein FdhE,,
GCF_000597845.1|WP_000027705.1,GCF_000801185.2|WP_000027708.1,GCF_000801185.2,WP_000027708.1,fdhE,HW43_RS01000,formate dehydrogenase accessory protein FdhE,,
GCF_000597845.1|WP_000027705.1,GCF_000830035.1|WP_000027705.1,GCF_000830035.1,WP_000027705.1,fdhE,TH69_RS19775,formate dehydrogenase accessory protein FdhE,,
GCF_000597845.1|WP_000027705.1,GCF_000833145.1|WP_000027705.1,GCF_000833145.1,WP_000027705.1,fdhE,SR36_RS19585,formate dehydrogenase accessory protein FdhE,,
GCF_000597845.1|WP_000027705.1,GCF_000833635.2|WP_000027703.1,GCF_000833635.2,WP_000027703.1,fdhE,USML2_RS03955,formate dehydrogenase accessory protein FdhE,,
GCF_000597845.1|WP_000027705.1,GCF_000952955.1|WP_000027703.1,GCF_000952955.1,WP_000027703.1,fdhE,ECRV308_RS19915,formate dehydrogenase accessory protein FdhE,,
GCF_000597845.1|WP_000027705.1,GCF_000953515.1|WP_000027703.1,GCF_000953515.1,WP_000027703.1,fdhE,ECHMS174_RS17330,formate dehydrogenase accessory protein FdhE,,
GCF_000597845.1|WP_000027705.1,GCF_000971615.1|WP_000027708.1,GCF_000971615.1,WP_000027708.1,fdhE,VK74_RS15695,formate dehydrogenase accessory protein FdhE,,
GCF_000597845.1|WP_000027705.1,GCF_000987875.1|WP_000027705.1,GCF_000987875.1,WP_000027705.1,fdhE,DP32_RS22605,formate dehydrogenase accessory protein FdhE,,
