family,GCF_000597845.1,GCF_000599665.1,GCF_000801165.1,GCF_000801185.2,GCF_000830035.1,GCF_000833145.1,GCF_000833635.2,GCF_000952955.1,GCF_000953515.1,GCF_000971615.1,GCF_000987875.1
GCF_000597845.1|WP_000002303.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000002474.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000002541.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000002907.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000002953.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000003071.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000003317.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000003377.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000003820.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000004051.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000004438.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000004488.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000004618.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000004655.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000004770.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000004899.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000005042.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000005552.1,1,0,0,1,0,0,0,0,0,0,0
GCF_000597845.1|WP_000006621.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000006806.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000006890.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000007101.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000007283.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000007444.1,1,0,0,0,0,0,1,1,1,0,0
GCF_000597845.1|WP_000007523.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000007629.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000008957.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000009244.1,1,1,1,1,0,0,1,1,1,1,1
GCF_000597845.1|WP_000010276.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000010749.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000011114.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000011660.1,1,1,1,0,1,1,1,1,1,1,1
GCF_000597845.1|WP_000012300.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000012550.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000012904.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000013026.1,1,0,0,0,0,0,0,0,0,0,0
GCF_000597845.1|WP_000013046.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000013149.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000013506.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000014036.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000014321.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000015497.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000015837.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000015990.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000016560.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000016907.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000017106.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000017354.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000017552.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000017703.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000018003.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000018329.1,1,0,0,0,0,0,0,0,0,0,0
GCF_000597845.1|WP_000018413.1,1,1,1,1,0,0,1,1,1,1,1
GCF_000597845.1|WP_000018588.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000018633.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000018760.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000019358.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000019407.1,1,0,0,0,0,0,1,1,1,0,0
GCF_000597845.1|WP_000019588.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000019655.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000019827.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000019869.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000019944.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000020078.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000020163.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000020467.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000020749.1,1,1,1,1,1,1,1,1,1,1,1
GCF_000597845.1|WP_000020880.1,1,1,1,1,1,1,1,1,1,1,1
