family,GCF_000597845.1,GCF_000599665.1,GCF_000801165.1,GCF_000801185.2,GCF_000830035.1,GCF_000833145.1,GCF_000833635.2,GCF_000952955.1,GCF_000953515.1,GCF_000971615.1,GCF_000987875.1
GCF_000801165.1|WP_000006334.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000801165.1|WP_001204071.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000801165.1|WP_032141822.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000801165.1|WP_039264392.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000036628.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000041317.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000058708.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000119441.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000122239.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000144225.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000183810.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000279885.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000371477.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000450225.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000522897.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000533466.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000565927.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000635646.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000638145.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000661408.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000666530.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000695774.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000733565.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000797400.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000804010.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000807561.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000871596.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000947398.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_000996600.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001040751.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001060994.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001066231.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001078805.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001097116.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001150579.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001183287.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001199686.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001276642.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001341841.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001395679.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001395971.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001396330.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001402122.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001542642.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_001542896.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_024170797.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_024194565.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_024239663.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_024251353.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_032325772.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_039264360.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_039264497.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_039264498.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_039264501.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_039264502.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_039264505.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_046201413.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_046201788.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_052734128.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_224142731.1,0,0,1,0,0,0,0,0,0,1,0
GCF_000971615.1|WP_230986327.1,0,0,1,0,0,0,0,0,0,1,0
