genome_1,genome_2,pair_specific_families
GCF_000801165.1,GCF_000801185.2,127
GCF_000597845.1,GCF_000971615.1,64
GCF_000801165.1,GCF_000971615.1,61
GCF_000830035.1,GCF_000833145.1,49
GCF_000801185.2,GCF_000987875.1,38
GCF_000597845.1,GCF_000987875.1,35
GCF_000599665.1,GCF_000801165.1,11
GCF_000971615.1,GCF_000987875.1,11
GCF_000801185.2,GCF_000971615.1,9
GCF_000599665.1,GCF_000987875.1,8
GCF_000599665.1,GCF_000971615.1,7
GCF_000597845.1,GCF_000801185.2,7
GCF_000952955.1,GCF_000953515.1,6
GCF_000599665.1,GCF_000801185.2,5
GCF_000801165.1,GCF_000987875.1,4
GCF_000830035.1,GCF_000987875.1,3
GCF_000597845.1,GCF_000599665.1,3
GCF_000833145.1,GCF_000987875.1,3
GCF_000597845.1,GCF_000830035.1,2
GCF_000597845.1,GCF_000833145.1,2
GCF_000597845.1,GCF_000952955.1,0
GCF_000597845.1,GCF_000801165.1,0
GCF_000597845.1,GCF_000833635.2,0
GCF_000801165.1,GCF_000833635.2,0
GCF_000801165.1,GCF_000833145.1,0
GCF_000801165.1,GCF_000830035.1,0
GCF_000599665.1,GCF_000952955.1,0
GCF_000599665.1,GCF_000953515.1,0
GCF_000599665.1,GCF_000830035.1,0
GCF_000599665.1,GCF_000833145.1,0
GCF_000599665.1,GCF_000833635.2,0
GCF_000597845.1,GCF_000953515.1,0
GCF_000801185.2,GCF_000833635.2,0
GCF_000801185.2,GCF_000833145.1,0
GCF_000801185.2,GCF_000953515.1,0
GCF_000801185.2,GCF_000952955.1,0
GCF_000801185.2,GCF_000830035.1,0
GCF_000801165.1,GCF_000953515.1,0
GCF_000801165.1,GCF_000952955.1,0
GCF_000830035.1,GCF_000971615.1,0
GCF_000830035.1,GCF_000953515.1,0
GCF_000830035.1,GCF_000952955.1,0
GCF_000830035.1,GCF_000833635.2,0
GCF_000833145.1,GCF_000953515.1,0
GCF_000833145.1,GCF_000971615.1,0
GCF_000833145.1,GCF_000952955.1,0
GCF_000833145.1,GCF_000833635.2,0
GCF_000833635.2,GCF_000953515.1,0
GCF_000833635.2,GCF_000952955.1,0
GCF_000833635.2,GCF_000987875.1,0
GCF_000833635.2,GCF_000971615.1,0
GCF_000952955.1,GCF_000971615.1,0
GCF_000952955.1,GCF_000987875.1,0
GCF_000953515.1,GCF_000971615.1,0
GCF_000953515.1,GCF_000987875.1,0
