cluster,genomes_present,family_type,gene,product,go_function,ontology_term
GCF_000597845.1|WP_000002303.1,11,Core,phnJ,alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase PhnJ,,
GCF_000597845.1|WP_000002474.1,11,Core,citR,DNA-binding transcriptional repressor CitR,DNA-binding transcription factor activity|0003700||IEA,"GO:0006355,GO:0003700"
GCF_000597845.1|WP_000002541.1,11,Core,lepB,signal peptidase I,serine-type endopeptidase activity|0004252||IEA,"GO:0006465,GO:0004252"
GCF_000597845.1|WP_000002907.1,11,Core,dgkA,diacylglycerol kinase,,
GCF_000597845.1|WP_000002953.1,11,Core,rraB,ribonuclease E inhibitor RraB,,
GCF_000597845.1|WP_000003071.1,11,Core,lysS,lysine--tRNA ligase,"lysine-tRNA ligase activity|0004824||IEA,ATP binding|0005524||IEA","GO:0006430,GO:0004824,GO:0005524,GO:0005737"
GCF_000597845.1|WP_000003317.1,11,Core,rlmN,bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN,,
GCF_000597845.1|WP_000003377.1,11,Core,secB,protein-export chaperone SecB,,
GCF_000597845.1|WP_000003820.1,11,Core,aceE,pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type,pyruvate dehydrogenase activity|0004738||IEA,"GO:0006086,GO:0004738,GO:0045254"
GCF_000597845.1|WP_000004051.1,11,Core,tauD,taurine dioxygenase,oxidoreductase activity|0016491||IEA,GO:0016491
GCF_000597845.1|WP_000004438.1,11,Core,fmt,methionyl-tRNA formyltransferase,methionyl-tRNA formyltransferase activity|0004479||IEA,"GO:0071951,GO:0004479,GO:0005737"
GCF_000597845.1|WP_000004488.1,11,Core,mlaB,lipid asymmetry maintenance protein MlaB,,
GCF_000597845.1|WP_000004618.1,11,Core,lplT,lysophospholipid transporter LplT,transmembrane transporter activity|0022857||IEA,"GO:0055085,GO:0022857"
GCF_000597845.1|WP_000004655.1,11,Core,fkpB,FKBP-type peptidyl-prolyl cis-trans isomerase,peptidyl-prolyl cis-trans isomerase activity|0003755||IEA,GO:0003755
GCF_000597845.1|WP_000004770.1,11,Core,epmA,elongation factor P--(R)-beta-lysine ligase,aminoacyl-tRNA ligase activity|0004812||IEA,"GO:0006418,GO:0004812"
GCF_000597845.1|WP_000004899.1,11,Core,hyaF,hydrogenase expression/formation protein,,
GCF_000597845.1|WP_000005042.1,11,Core,yacG,DNA gyrase inhibitor YacG,zinc ion binding|0008270||IEA,"GO:0006355,GO:0008270"
GCF_000597845.1|WP_000005552.1,2,Accessory,,excisionase family protein,,
GCF_000597845.1|WP_000006621.1,11,Core,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,"NAD binding|0051287||IEA,UDP-N-acetyl-D-mannosamine dehydrogenase activity|0089714||IEA","GO:0009246,GO:0051287,GO:0089714"
GCF_000597845.1|WP_000006806.1,11,Core,dxs,1-deoxy-D-xylulose-5-phosphate synthase,1-deoxy-D-xylulose-5-phosphate synthase activity|0008661||IEA,"GO:0008615,GO:0009228,GO:0009240,GO:0008661,GO:0005737"
GCF_000597845.1|WP_000006890.1,11,Core,allB,allantoinase AllB,allantoinase activity|0004038||IEA,"GO:0000256,GO:0004038"
GCF_000597845.1|WP_000007101.1,11,Core,rhlE,ATP-dependent RNA helicase RhlE,RNA helicase activity|0003724||IEA,GO:0003724
GCF_000597845.1|WP_000007283.1,11,Core,sodB,superoxide dismutase [Fe],"superoxide dismutase activity|0004784||IEA,metal ion binding|0046872||IEA","GO:0006801,GO:0004784,GO:0046872"
GCF_000597845.1|WP_000007444.1,4,Accessory,nadS,NadS family protein,,
GCF_000597845.1|WP_000007523.1,11,Core,metF,methylenetetrahydrofolate reductase,methylenetetrahydrofolate reductase (NAD(P)H) activity|0004489||IEA,"GO:0009086,GO:0004489"
GCF_000597845.1|WP_000007629.1,11,Core,yajC,preprotein translocase subunit YajC,protein-transporting ATPase activity|0015450||IEA,"GO:0009306,GO:0015450,GO:0005886"
GCF_000597845.1|WP_000008957.1,11,Core,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,,
GCF_000597845.1|WP_000009244.1,9,Accessory,yodC,YodC family protein,,
GCF_000597845.1|WP_000010276.1,11,Core,prpE,propionate--CoA ligase,propionate-CoA ligase activity|0050218||IEA,"GO:0019629,GO:0050218"
GCF_000597845.1|WP_000010749.1,11,Core,norR,nitric oxide reductase transcriptional regulator NorR,DNA-binding transcription factor activity|0003700||IEA,"GO:0006355,GO:0003700"
GCF_000597845.1|WP_000011114.1,11,Core,yceJ,cytochrome b,"electron transfer activity|0009055||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA","GO:0022904,GO:0009055,GO:0020037,GO:0046872,GO:0016020"
GCF_000597845.1|WP_000011660.1,10,Accessory,yobB,carbon-nitrogen hydrolase family protein YobB,,
GCF_000597845.1|WP_000012300.1,11,Core,yfaA,DUF2138 domain-containing protein,,
GCF_000597845.1|WP_000012550.1,11,Core,yjfK,YjfK family protein,,
GCF_000597845.1|WP_000012904.1,11,Core,argF,ornithine carbamoyltransferase,ornithine carbamoyltransferase activity|0004585||IEA,"GO:0042450,GO:0004585"
GCF_000597845.1|WP_000013026.1,1,Singleton,,hypothetical protein,,
GCF_000597845.1|WP_000013046.1,11,Core,pyrB,aspartate carbamoyltransferase,aspartate carbamoyltransferase activity|0004070||IEA,"GO:0006207,GO:0004070"
GCF_000597845.1|WP_000013149.1,11,Core,dkgA,2%2C5-didehydrogluconate reductase DkgA,2%2C5-didehydrogluconate reductase activity|0050580||IEA,GO:0050580
GCF_000597845.1|WP_000013506.1,11,Core,napH,quinol dehydrogenase ferredoxin subunit NapH,,
GCF_000597845.1|WP_000014036.1,11,Core,pntB,Re/Si-specific NAD(P)(+) transhydrogenase subunit beta,"proton-translocating NAD(P)+ transhydrogenase activity|0008750||IEA,NADP binding|0050661||IEA","GO:0008750,GO:0050661,GO:0016020"
GCF_000597845.1|WP_000014321.1,11,Core,secM,secA translation cis-regulator SecM,translation regulator activity|0045182||IEA,GO:0045182
GCF_000597845.1|WP_000015497.1,11,Core,ygbA,nitrous oxide-stimulated promoter family protein,,
